episode,total_reward,rolling_avg_20
1069,946.13,859.17
1070,955.27,859.58
1071,1050.19,861.7
1072,782.26,861.3
1073,880.89,861.88
1074,971.5,859.01
1075,717.15,851.31
1076,912.21,860.83
1077,1015.07,861.13
1078,698.32,849.45
1079,989.18,864.3
1080,959.74,878.74
1081,932.01,879.01
1082,1009.77,877.6
1083,930.65,874.54
1084,846.45,873.42
1085,896.1,880.66
1086,955.74,892.28
1087,979.44,908.24
1088,1011.43,921.97
1089,760.27,912.68
1090,980.54,913.95
1091,973.39,910.11
1092,1007.66,921.38
1093,605.37,907.6
1094,937.79,905.91
1095,674.65,903.79
1096,857.5,901.05
1097,1031.66,901.88
1098,1036.2,918.78
1099,730.7,905.85
1100,953.22,905.53
1101,802.18,899.04
1102,696.76,883.39
1103,801.9,876.95
1104,1048.05,887.03
1105,857.64,885.1
1106,866.92,880.66
1107,854.21,874.4
1108,973.93,872.53
1109,808.32,874.93
1110,697.45,860.77
1111,896.49,856.93
1112,661.34,839.61
1113,934.65,856.08
1114,831.47,850.76
1115,933.56,863.71
1116,1020.85,871.88
1117,910.61,865.82
1118,682.74,848.15
1119,701.32,846.68
1120,687.52,833.4
1121,1027.18,844.65
1122,706.53,845.13
1123,829.68,846.52
1124,675.46,827.89
1125,844.39,827.23
1126,638.4,815.81
1127,876.9,816.94
1128,990.42,817.76
1129,686.6,811.68
1130,961.32,824.87
1131,624.01,811.25
1132,960.87,826.22
1133,901.18,824.55
1134,721.21,819.04
1135,892.51,816.99
1136,1018.49,816.87
1137,1027.73,822.72
1138,1012.84,839.23
1139,921.54,850.24
1140,749.34,853.33
1141,813.53,842.65
1142,1026.24,858.63
1143,1023.16,868.31
1144,852.03,877.14
1145,777.97,873.82
1146,919.1,887.85
1147,664.41,877.23
1148,707.0,863.05
1149,953.27,876.39
1150,777.46,867.2
1151,1013.34,886.66
1152,714.21,874.33
1153,805.68,869.55
1154,738.08,870.4
1155,988.22,875.18
1156,901.54,869.34
1157,700.41,852.97
1158,678.99,836.28
1159,934.25,836.91
1160,682.0,833.55
1161,787.53,832.25
1162,974.78,829.67
1163,793.44,818.19
1164,1042.49,827.71
1165,1032.12,840.42
1166,747.9,831.86
1167,1006.31,848.95
1168,916.87,859.45
1169,1015.49,862.56
1170,978.66,872.62
1171,952.63,869.58
1172,655.96,866.67
1173,1008.12,876.79
1174,1005.24,890.15
1175,661.63,873.82
1176,858.53,871.67
1177,686.11,870.95
1178,825.35,878.27
1179,860.86,874.6
1180,877.97,884.4
1181,1028.69,896.46
1182,739.99,884.72
1183,688.66,879.48
1184,1006.77,877.69
1185,920.38,872.11
1186,1004.95,884.96
1187,752.81,872.28
1188,951.41,874.01
1189,833.96,864.93
1190,734.28,852.71
1191,987.94,854.48
1192,1036.64,873.51
1193,844.51,865.33
1194,961.98,863.17
1195,993.28,879.75
1196,981.97,885.93
1197,826.63,892.95
1198,713.08,887.34
1199,903.81,889.49
1200,554.53,873.31
1201,806.88,862.22
1202,892.69,869.86
1203,973.19,884.08
1204,803.64,873.93
1205,718.05,863.81
1206,1055.07,866.32
1207,780.48,867.7
1208,975.71,868.92
1209,1037.46,879.09
1210,647.51,874.75
1211,719.67,861.34
1212,994.19,859.22
1213,881.44,861.06
1214,773.81,851.65
1215,927.6,848.37
1216,793.4,838.94
1217,956.1,845.41
1218,882.97,853.91
1219,937.92,855.61
1220,721.36,863.96
1221,1034.44,875.33
1222,1002.52,880.83
1223,1064.48,885.39
1224,995.71,894.99
1225,691.42,893.66
1226,856.68,883.74
1227,822.07,885.82
1228,745.83,874.33
1229,842.78,864.6
1230,742.8,869.36
1231,849.89,875.87
1232,752.21,863.77
1233,923.12,865.86
1234,1032.84,878.81
1235,785.44,871.7
1236,699.52,867.01
1237,718.28,855.12
1238,565.54,839.24
1239,701.54,827.42
1240,957.45,839.23
1241,836.29,829.32
1242,856.85,822.04
1243,964.77,817.05
1244,619.81,798.26
1245,1031.35,815.25
1246,639.21,804.38
1247,990.29,812.79
1248,898.47,820.42
1249,849.14,820.74
1250,973.03,832.25
1251,591.62,819.34
1252,810.67,822.26
1253,1032.15,827.71
1254,722.89,812.22
1255,711.22,808.5
1256,1048.27,825.94
1257,778.93,828.97
1258,675.11,834.45
1259,848.94,841.82
1260,772.39,832.57
1261,901.02,835.81
1262,682.46,827.09
1263,947.44,826.22
1264,1029.69,846.72
1265,901.28,840.21
1266,829.38,849.72
1267,666.42,833.53
1268,821.19,829.66
1269,833.36,828.87
1270,820.76,821.26
1271,805.07,831.93
1272,1003.47,841.57
1273,714.52,825.69
1274,1026.61,840.88
1275,861.46,848.39
1276,691.89,830.57
1277,959.05,839.57
1278,871.32,849.39
1279,1004.83,857.18
1280,948.41,865.98
1281,974.28,869.64
1282,1044.58,887.75
1283,797.22,880.24
1284,708.66,864.19
1285,703.94,854.32
1286,968.41,861.27
1287,1018.18,878.86
1288,792.02,877.4
1289,940.02,882.74
1290,1043.5,893.87
1291,671.72,887.2
1292,911.07,882.59
1293,975.79,895.65
1294,992.63,893.95
1295,740.47,887.9
1296,770.41,891.83
1297,968.23,892.29
1298,688.03,883.12
1299,1030.08,884.38
1300,783.71,876.15
1301,701.78,862.52
1302,818.41,851.21
1303,930.17,857.86
1304,724.65,858.66
1305,707.92,858.86
1306,842.93,852.59
1307,942.9,848.82
1308,719.1,845.18
1309,768.05,836.58
1310,687.43,818.77
